id,period,region,birth_count
1,2005,Northland region,2067
2,2005,Auckland region,20745
3,2005,Waikato region,5667
4,2005,Bay of Plenty region,3771
5,2005,Gisborne region,777
6,2005,Hawke's Bay region,2115
7,2005,Taranaki region,1410
8,2005,Manawatu-Wanganui region,3093
9,2005,Wellington region,6225
10,2005,Tasman region,513
11,2005,Nelson region,519
12,2005,Marlborough region,471
13,2005,West Coast region,336
14,2005,Canterbury region,6603
15,2005,Otago region,2151
16,2005,Southland region,1212
17,2005,"Region not stated or area outside region",57
18,2005,New Zealand,57747
19,2006,Northland region,2244
20,2006,Auckland region,21333
21,2006,Waikato region,5592
22,2006,Bay of Plenty region,3840
23,2006,Gisborne region,720
24,2006,Hawke's Bay region,2163
25,2006,Taranaki region,1455
26,2006,Manawatu-Wanganui region,3165
27,2006,Wellington region,6441
28,2006,Tasman region,549
29,2006,Nelson region,522
30,2006,Marlborough region,486
31,2006,West Coast region,390
32,2006,Canterbury region,6777
33,2006,Otago region,2148
34,2006,Southland region,1233
35,2006,"Region not stated or area outside region",135
36,2006,New Zealand,59193
37,2007,Northland region,2322
38,2007,Auckland region,23007
39,2007,Waikato region,6231
40,2007,Bay of Plenty region,4053
41,2007,Gisborne region,801
42,2007,Hawke's Bay region,2319
43,2007,Taranaki region,1611
44,2007,Manawatu-Wanganui region,3297
45,2007,Wellington region,6876
46,2007,Tasman region,552
47,2007,Nelson region,639
48,2007,Marlborough region,513
49,2007,West Coast region,405
50,2007,Canterbury region,7548
51,2007,Otago region,2349
52,2007,Southland region,1350
53,2007,"Region not stated or area outside region",174
54,2007,New Zealand,64044
55,2008,Northland region,2304
56,2008,Auckland region,23112
57,2008,Waikato region,6423
58,2008,Bay of Plenty region,4116
59,2008,Gisborne region,828
60,2008,Hawke's Bay region,2358
61,2008,Taranaki region,1596
62,2008,Manawatu-Wanganui region,3372
63,2008,Wellington region,6972
64,2008,Tasman region,558
65,2008,Nelson region,627
66,2008,Marlborough region,570
67,2008,West Coast region,453
68,2008,Canterbury region,7284
69,2008,Otago region,2367
70,2008,Southland region,1338
71,2008,"Region not stated or area outside region",63
72,2008,New Zealand,64344
73,2009,Northland region,2199
74,2009,Auckland region,22605
75,2009,Waikato region,6147
76,2009,Bay of Plenty region,3939
77,2009,Gisborne region,729
78,2009,Hawke's Bay region,2352
79,2009,Taranaki region,1587
80,2009,Manawatu-Wanganui region,3153
81,2009,Wellington region,6792
82,2009,Tasman region,498
83,2009,Nelson region,603
84,2009,Marlborough region,552
85,2009,West Coast region,432
86,2009,Canterbury region,7161
87,2009,Otago region,2352
88,2009,Southland region,1356
89,2009,"Region not stated or area outside region",90
90,2009,New Zealand,62544
91,2010,Northland region,2397
92,2010,Auckland region,23214
93,2010,Waikato region,6324
94,2010,Bay of Plenty region,3957
95,2010,Gisborne region,783
96,2010,Hawke's Bay region,2286
97,2010,Taranaki region,1596
98,2010,Manawatu-Wanganui region,3297
99,2010,Wellington region,6771
100,2010,Tasman region,543
101,2010,Nelson region,603
102,2010,Marlborough region,573
103,2010,West Coast region,429
104,2010,Canterbury region,7305
105,2010,Otago region,2331
106,2010,Southland region,1404
107,2010,"Region not stated or area outside region",81
108,2010,New Zealand,63897
109,2011,Northland region,2199
110,2011,Auckland region,22659
111,2011,Waikato region,5916
112,2011,Bay of Plenty region,3951
113,2011,Gisborne region,738
114,2011,Hawke's Bay region,2226
115,2011,Taranaki region,1554
116,2011,Manawatu-Wanganui region,3171
117,2011,Wellington region,6528
118,2011,Tasman region,501
119,2011,Nelson region,600
120,2011,Marlborough region,540
121,2011,West Coast region,432
122,2011,Canterbury region,6693
123,2011,Otago region,2340
124,2011,Southland region,1332
125,2011,"Region not stated or area outside region",24
126,2011,New Zealand,61401
127,2012,Northland region,2310
128,2012,Auckland region,22836
129,2012,Waikato region,6051
130,2012,Bay of Plenty region,3876
131,2012,Gisborne region,708
132,2012,Hawke's Bay region,2238
133,2012,Taranaki region,1533
134,2012,Manawatu-Wanganui region,3015
135,2012,Wellington region,6435
136,2012,Tasman region,477
137,2012,Nelson region,546
138,2012,Marlborough region,507
139,2012,West Coast region,417
140,2012,Canterbury region,6633
141,2012,Otago region,2337
142,2012,Southland region,1245
143,2012,"Region not stated or area outside region",18
144,2012,New Zealand,61179
145,2013,Northland region,2124
146,2013,Auckland region,21825
147,2013,Waikato region,5745
148,2013,Bay of Plenty region,3696
149,2013,Gisborne region,699
150,2013,Hawke's Bay region,2160
151,2013,Taranaki region,1503
152,2013,Manawatu-Wanganui region,2985
153,2013,Wellington region,6057
154,2013,Tasman region,486
155,2013,Nelson region,555
156,2013,Marlborough region,504
157,2013,West Coast region,384
158,2013,Canterbury region,6543
159,2013,Otago region,2235
160,2013,Southland region,1200
161,2013,"Region not stated or area outside region",12
162,2013,New Zealand,58716
163,2014,Northland region,2049
164,2014,Auckland region,21429
165,2014,Waikato region,5688
166,2014,Bay of Plenty region,3504
167,2014,Gisborne region,651
168,2014,Hawke's Bay region,2037
169,2014,Taranaki region,1506
170,2014,Manawatu-Wanganui region,2865
171,2014,Wellington region,5889
172,2014,Tasman region,411
173,2014,Nelson region,534
174,2014,Marlborough region,486
175,2014,West Coast region,375
176,2014,Canterbury region,6573
177,2014,Otago region,2088
178,2014,Southland region,1134
179,2014,"Region not stated or area outside region",21
180,2014,New Zealand,57243
181,2015,Northland region,2196
182,2015,Auckland region,22434
183,2015,Waikato region,6234
184,2015,Bay of Plenty region,3879
185,2015,Gisborne region,717
186,2015,Hawke's Bay region,2145
187,2015,Taranaki region,1611
188,2015,Manawatu-Wanganui region,3072
189,2015,Wellington region,6231
190,2015,Tasman region,447
191,2015,Nelson region,534
192,2015,Marlborough region,489
193,2015,West Coast region,381
194,2015,Canterbury region,7077
195,2015,Otago region,2358
196,2015,Southland region,1224
197,2015,"Region not stated or area outside region",12
198,2015,New Zealand,61038
199,2016,Northland region,2229
200,2016,Auckland region,21810
201,2016,Waikato region,6066
202,2016,Bay of Plenty region,3864
203,2016,Gisborne region,738
204,2016,Hawke's Bay region,2058
205,2016,Taranaki region,1473
206,2016,Manawatu-Wanganui region,2928
207,2016,Wellington region,6015
208,2016,Tasman region,453
209,2016,Nelson region,540
210,2016,Marlborough region,534
211,2016,West Coast region,324
212,2016,Canterbury region,7014
213,2016,Otago region,2199
214,2016,Southland region,1161
215,2016,"Region not stated or area outside region",15
216,2016,New Zealand,59427
217,2017,Northland region,2247
218,2017,Auckland region,21393
219,2017,Waikato region,6204
220,2017,Bay of Plenty region,4086
221,2017,Gisborne region,705
222,2017,Hawke's Bay region,2127
223,2017,Taranaki region,1389
224,2017,Manawatu-Wanganui region,3045
225,2017,Wellington region,6057
226,2017,Tasman region,459
227,2017,Nelson region,504
228,2017,Marlborough region,495
229,2017,West Coast region,363
230,2017,Canterbury region,7065
231,2017,Otago region,2241
232,2017,Southland region,1215
233,2017,"Region not stated or area outside region",15
234,2017,New Zealand,59610
235,2018,Northland region,2181
236,2018,Auckland region,20712
237,2018,Waikato region,6054
238,2018,Bay of Plenty region,3969
239,2018,Gisborne region,711
240,2018,Hawke's Bay region,2070
241,2018,Taranaki region,1548
242,2018,Manawatu-Wanganui region,3024
243,2018,Wellington region,5706
244,2018,Tasman region,447
245,2018,Nelson region,540
246,2018,Marlborough region,504
247,2018,West Coast region,324
248,2018,Canterbury region,6939
249,2018,Otago region,2148
250,2018,Southland region,1119
251,2018,"Region not stated or area outside region",18
252,2018,New Zealand,58020
253,2019,Northland region,2250
254,2019,Auckland region,21405
255,2019,Waikato region,6237
256,2019,Bay of Plenty region,4047
257,2019,Gisborne region,675
258,2019,Hawke's Bay region,2037
259,2019,Taranaki region,1542
260,2019,Manawatu-Wanganui region,3057
261,2019,Wellington region,5904
262,2019,Tasman region,462
263,2019,Nelson region,537
264,2019,Marlborough region,480
265,2019,West Coast region,354
266,2019,Canterbury region,7164
267,2019,Otago region,2310
268,2019,Southland region,1152
269,2019,"Region not stated or area outside region",21
270,2019,New Zealand,59637
271,2020,Northland region,2244
272,2020,Auckland region,20385
273,2020,Waikato region,6195
274,2020,Bay of Plenty region,4005
275,2020,Gisborne region,663
276,2020,Hawke's Bay region,2079
277,2020,Taranaki region,1467
278,2020,Manawatu-Wanganui region,2976
279,2020,Wellington region,5691
280,2020,Tasman region,474
281,2020,Nelson region,477
282,2020,Marlborough region,477
283,2020,West Coast region,312
284,2020,Canterbury region,6780
285,2020,Otago region,2238
286,2020,Southland region,1083
287,2020,"Region not stated or area outside region",18
288,2020,New Zealand,57576
289,2021,Northland region,2262
