id,period,region,death_count
1,2005,Northland region,1167
2,2005,Auckland region,6873
3,2005,Waikato region,2520
4,2005,Bay of Plenty region,1956
5,2005,Gisborne region,375
6,2005,Hawke's Bay region,1278
7,2005,Taranaki region,909
8,2005,Manawatu-Wanganui region,1836
9,2005,Wellington region,2745
10,2005,Tasman region,315
11,2005,Nelson region,345
12,2005,Marlborough region,372
13,2005,West Coast region,243
14,2005,Canterbury region,3816
15,2005,Otago region,1428
16,2005,Southland region,723
17,2005,"Region not stated or area outside region",129
18,2005,New Zealand,27033
19,2006,Northland region,1164
20,2006,Auckland region,7152
21,2006,Waikato region,2754
22,2006,Bay of Plenty region,2151
23,2006,Gisborne region,438
24,2006,Hawke's Bay region,1251
25,2006,Taranaki region,858
26,2006,Manawatu-Wanganui region,1965
27,2006,Wellington region,2826
28,2006,Tasman region,342
29,2006,Nelson region,366
30,2006,Marlborough region,360
31,2006,West Coast region,240
32,2006,Canterbury region,4014
33,2006,Otago region,1458
34,2006,Southland region,765
35,2006,"Region not stated or area outside region",135
36,2006,New Zealand,28245
37,2007,Northland region,1224
38,2007,Auckland region,7218
39,2007,Waikato region,2787
40,2007,Bay of Plenty region,2139
41,2007,Gisborne region,378
42,2007,Hawke's Bay region,1281
43,2007,Taranaki region,939
44,2007,Manawatu-Wanganui region,1812
45,2007,Wellington region,2865
46,2007,Tasman region,324
47,2007,Nelson region,381
48,2007,Marlborough region,366
49,2007,West Coast region,255
50,2007,Canterbury region,4107
51,2007,Otago region,1530
52,2007,Southland region,783
53,2007,"Region not stated or area outside region",132
54,2007,New Zealand,28521
55,2008,Northland region,1344
56,2008,Auckland region,7404
57,2008,Waikato region,2871
58,2008,Bay of Plenty region,2241
59,2008,Gisborne region,387
60,2008,Hawke's Bay region,1200
61,2008,Taranaki region,912
62,2008,Manawatu-Wanganui region,1920
63,2008,Wellington region,3015
64,2008,Tasman region,297
65,2008,Nelson region,411
66,2008,Marlborough region,381
67,2008,West Coast region,273
68,2008,Canterbury region,4017
69,2008,Otago region,1617
70,2008,Southland region,786
71,2008,"Region not stated or area outside region",108
72,2008,New Zealand,29190
73,2009,Northland region,1287
74,2009,Auckland region,7386
75,2009,Waikato region,2760
76,2009,Bay of Plenty region,2226
77,2009,Gisborne region,360
78,2009,Hawke's Bay region,1251
79,2009,Taranaki region,897
80,2009,Manawatu-Wanganui region,1941
81,2009,Wellington region,2955
82,2009,Tasman region,300
83,2009,Nelson region,360
84,2009,Marlborough region,378
85,2009,West Coast region,264
86,2009,Canterbury region,4206
87,2009,Otago region,1560
88,2009,Southland region,765
89,2009,"Region not stated or area outside region",66
90,2009,New Zealand,28962
91,2010,Northland region,1233
92,2010,Auckland region,7227
93,2010,Waikato region,2772
94,2010,Bay of Plenty region,2139
95,2010,Gisborne region,381
96,2010,Hawke's Bay region,1206
97,2010,Taranaki region,909
98,2010,Manawatu-Wanganui region,1905
99,2010,Wellington region,2916
100,2010,Tasman region,309
101,2010,Nelson region,372
102,2010,Marlborough region,360
103,2010,West Coast region,249
104,2010,Canterbury region,4272
105,2010,Otago region,1392
106,2010,Southland region,744
107,2010,"Region not stated or area outside region",48
108,2010,New Zealand,28437
109,2011,Northland region,1365
110,2011,Auckland region,7692
111,2011,Waikato region,2937
112,2011,Bay of Plenty region,2202
113,2011,Gisborne region,366
114,2011,Hawke's Bay region,1269
115,2011,Taranaki region,978
